album_id,album_name,genre,clip_color_photography,clip_portrait_orientation,clip_one_person,clip_photographic,clip_portrait,clip_close_up_shot,clip_studio_photo,clip_black_and_white_photography,clip_neutral_mood,clip_realistic_photo,clip_simple_design,clip_bright_mood,clip_energetic_vibe,clip_urban_scene,clip_calm_vibe,clip_modern_style,clip_complex_design,clip_band_members,clip_text_overlay,clip_nostalgic_feeling,clip_vintage_style,clip_natural_lighting,clip_abstract_art,clip_outdoor_scene,clip_multiple_people,clip_album_name_visible,clip_graphic_design,clip_two_people,clip_no_people,clip_artistic,clip_text_heavy_design,clip_minimalist_design,clip_landscape_orientation,clip_musical_instruments,clip_dramatic_lighting,clip_happy_vibe,clip_maximalist_design,clip_dark_mood,clip_sad_vibe,clip_logo_visible,clip_microphone,clip_low_contrast,clip_surreal_design,clip_indoor_scene,clip_group_photo,clip_high_contrast,clip_full_body_shot,clip_nature_scene,clip_side_profile,clip_guitar,clip_drums,clip_silhouette,clip_abstract_background,clip_piano,clip_water_scene,clip_stage_performance,clip_band_name_visible,clip_angry_vibe,clip_mountain_scene,clip_illustrated_cover,clip_forest_scene,clip_concert_scene,clip_mysterious_vibe,clip_psychedelic_design,clip_beach_scene,clip_desert_scene,clip_city_streets
27V04EIO90mLb00XnNlKHd,Dinner in America Soundtrack,american,0.46527724015113087,0.00023738059430812982,0.0017837530777863881,0.010363846692249712,0.00026369687640406163,0.008264449330910998,0.0006942841706407501,0.00014647305713895762,0.00010547082568112282,0.0020636373828568297,0.019119765365049404,0.0007453114759692719,0.03658977218575716,0.00696746412214147,0.001061882824578912,0.0007427606435946722,0.0003817942480404049,0.002281053476622537,0.0053520893754356695,0.0019303666018864079,0.0009313589149294658,0.002655845934678607,0.0005806242153435617,0.05560412767881225,0.046918441593768366,0.15162353646709578,0.1652184429630106,0.0031851638622587917,0.007255126440225078,0.010068193007630193,0.015626053611452813,0.00022676189931384374,0.00013063524046700775,0.00039217970647021386,6.013380743005502e-05,0.001920284280443933,0.0001651824422224397,9.240937267681889e-05,0.00031313322140579035,0.011067374455871101,0.00015280706170581003,0.00022433124103392392,0.005067841059042046,0.0004789936745557637,0.0020189044705689794,0.00015031811542861548,6.062616992195836e-05,0.0007640122602814536,2.6919646601188002e-05,4.7704438701784904e-05,0.00027738661037380983,2.1087240992619947e-05,0.00014498707288364762,0.0006680136483711213,0.006088896909774007,0.0069394780707867495,0.005513168340572419,0.0014826061887449286,1.970172886239741e-06,0.1894798888020115,8.38325442275658e-06,0.0003633848530221384,0.0016030043558457737,0.0020220869336892394,0.0014176721323684073,0.00024367258079109892,0.0001243693643010105
6al2VdKbb6FIz9d7lU7WRB,Proof,korean,0.0002933775993865911,0.06338389433352681,0.0034428384316747035,0.007496629687073114,0.0022503688763683676,0.004269964817330426,0.009457934564478994,0.01861142478612639,0.000648171014248354,0.00047956140290388775,0.11648652311509439,0.0010514354324629785,0.0018354499877627172,0.004832639111443559,0.00911800002403644,0.017858319897086097,0.03547596319761695,0.0818012820269665,0.13712917997037055,0.008705210960611158,0.0004955365445216667,0.004474474902967263,0.048137964929037436,0.00019829682210985533,0.023378038505741786,0.028004983021966832,0.1861023615346957,0.0063324500548426026,0.03286268120884442,0.02346886648188541,0.1450968666200586,0.35912762017373323,0.02749696696091726,0.0007653573486381878,0.0022830908995627405,0.00030155652430439246,0.05750821768070652,0.006300926698560988,0.0013820515119124497,0.24518295851148383,0.0009145728792859135,0.03274920186333991,0.04954887572058714,0.00026000009568930064,0.0005087748191656651,0.032741283380761634,0.00032181957766406767,0.00015404395027269766,0.00014491841713250943,0.000245332468949246,0.0029531320091942814,0.005531373974970473,0.005580924299172585,0.0006115923729911431,0.0006013519377920812,0.015466482064548837,0.0007237879813780769,0.0373005015847295,0.00017977399576168577,0.012702962469996826,0.00010405758295365515,0.0014538442239595479,0.007268406829877407,0.055172278136111114,1.1813720023371756e-05,3.697546001324698e-05,0.0031490022966650065
5oPbg0vSyjXWguR2CDRVod,Rain and Thunder,nature sounds,0.00020687177792770066,2.8100032254364305e-07,8.878002987448848e-05,0.000619254671798933,2.3970917048518926e-05,0.00024024770691965648,1.7849459195766923e-05,0.0001732662950659045,0.01974657950449223,4.986273594113736e-05,0.004019082118793708,0.030596392969935878,0.39545243770636074,0.0005340270688442807,0.6575352753579387,0.002797498207861055,3.802371114572024e-05,0.0010429897130885962,7.793394691093947e-05,0.0020138516144251545,0.00017429097311842052,0.00025515434554077785,0.00022018414252608927,0.006214739763234583,0.0003478017709523082,0.006266901389191997,0.0004142488830225463,0.00012869808092515696,0.00014136521983435134,0.0007210408935984713,0.0018950389252921222,0.00010596086585670987,1.9134405697351e-05,0.002811250522663953,0.00043036513288850645,0.007394546065687161,0.00015385802960055453,0.015729879332643953,0.008099004163487439,0.0005009146792762383,1.3448044392066446e-05,0.0001447288564227436,0.0009435329952442974,5.142802685931129e-05,0.0005649411207592827,0.001043162338025113,4.25303937009305e-06,0.001459013609508179,2.078252161073595e-07,0.00021086369376870152,0.001792603691014153,6.22793590857773e-05,0.00016987790652815086,0.000407844854027448,0.005308370950248146,0.00038016371850679213,0.001445142673141417,0.08232033645001097,4.471590262113232e-05,0.004330067845443779,8.552990489918263e-05,9.524255990348349e-05,0.10927327419048581,0.001703013248522499,0.0005986811258322898,2.0925834639416165e-05,0.0001660770498283154
5FGZeAnAbmC0MJD597764o,Leave The Light On,country,0.0006126894736136257,0.00336645133907621,0.0019880277393987196,0.07297279543742706,0.10309569964846933,0.002487390300510306,0.0011378469909802335,0.0006280293840093527,0.004294490369085998,0.00034102852276303886,0.008891695694894,0.091521718695732,0.06938217398708496,0.010400547272921726,0.042124050582032696,0.08944349390532977,0.002440558134304014,0.15320635226758741,0.003421668090367709,0.01206551497998653,0.0036140269239366796,0.23407321031572056,0.0008404994178573275,0.013532770571763561,0.000705659245943687,0.06126834606218406,0.004829060895510403,0.0021046903207640176,7.546644464122709e-05,0.02393369086759492,0.010221354531667611,0.004576832378145709,0.0012695560727717977,0.0025823743979235384,0.064202490158879,0.01430164538005177,0.004428908327058658,0.003781011012208079,0.011020363442588058,0.0022696046445584944,0.0169388999354819,0.01587519647076975,0.0003115183731731185,0.007456729203039415,0.004812172476252319,0.00822745573006568,0.0007279630674818067,0.00014879666764683634,0.0005927602542142705,0.01668574710144557,0.09256147987006424,0.047136412275402766,9.382128585000345e-05,0.000875029207921849,0.0004708408646900883,0.0157478582970677,0.01110260554869127,0.002373894304254917,0.00015530801197856972,0.6241340669087808,2.2701099480323015e-05,0.011941798078699052,0.0056469078576150775,0.0030040067405658812,0.0011573010547773106,0.00017035448953459773,0.014478085055046237
04PEOM6kIEeq9lRp1asNP2,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",rock,0.0019724062084033314,0.00021072140507800413,0.004574779416700123,0.009627279669447314,0.0004133339152129351,0.002554963241413675,0.0072777319437057385,0.0002034647735250923,0.03037349898321945,0.0012302099177606714,0.016968053355630945,0.004107928439316227,0.0032775963707974733,0.009221010543799809,0.027739592392250052,0.03253448957609584,0.0008847717393494569,0.5683139997537594,0.12089930787342563,0.0036264037194085716,0.0015140314493431264,0.0024743989526312673,8.797909730874154e-05,0.0036712765687419062,0.026008413233412218,0.4042825260294837,0.005935467738419231,0.0001588837332083189,0.02735177915081229,0.0030879033395323475,0.10490387881677753,0.0004320905162464739,0.00019145082025131424,0.0021971101725809586,3.3107466076566034e-05,0.00799701803641163,0.00019303297010839253,0.0012541817974883332,0.0004041301651500645,0.012436703932672603,0.00013722840596730468,0.0004961955858990722,0.00034220680607452447,0.0015362963579330846,0.009282158378320518,0.001500953410947839,0.0003100493616257283,9.929302880408574e-05,2.5708259208363227e-05,0.019406056770453362,0.004736228125454168,0.000812281041985318,4.015572606095801e-05,0.0016814267563055485,5.932238876823145e-05,0.01294903136511027,0.055490943312457526,0.0035487880493114223,0.00023680808660802875,0.20388190158690092,2.7393560876196734e-05,0.006199307999575223,0.00031096845600479047,0.00011483354472821238,0.012764907093002473,0.002496287693426074,0.0023398371608470956
7By7Jo2T4WuFDwzW7MRc02,Noise Waterfalls,Unknown,0.0015190051743828314,0.00037866022282042716,0.00010376373626710118,0.004749891436578688,0.0024856681095528923,0.003035743240611821,0.006980348433170422,0.00015701796624104967,0.029888019333780675,0.006502344043681367,0.05568223506856496,0.011957419533528042,0.05356971981806079,0.001778780692811597,0.10393346124124107,0.012465476621410149,0.0029377433218948697,0.02384836191023451,0.009791018095416128,0.023509778801770288,2.464714500426199e-05,0.008818558602374224,0.023492306449833206,0.010490383247677383,0.03204595730466799,0.37050493706043197,0.006196060623912692,0.0005613720289945697,0.026092471868377647,0.037863969656590626,0.03184483566719213,0.023698588604632653,0.005105719348264896,0.010517611977107622,0.00040712980857461075,0.0032074614748782253,0.009075863594572423,0.0010806694530242904,0.007059291395253118,0.0034370739215138844,0.00012457776849075748,0.00036113078164181023,0.02818722921301941,0.008443094047663326,0.002251792815293362,0.000673150715599787,5.565330346554653e-06,0.03396264187708825,0.00032818953934379846,0.00030445376450704,0.0036141061684224905,0.0015847505870175784,0.018654089538737276,0.0002769800217549558,0.11600354690665297,0.0025557151467791596,0.1054949342844634,0.010222125663670357,0.04645221905107511,0.07858131672555507,0.0030758514871200167,0.0010866250042123415,0.046813927197247564,0.003426339941142001,0.0019103528253696898,0.002315295777319735,0.00015085583548353173
6twfTQ122kNcHAUXjFbe8a,SUBJECT TO CHANGE,country,0.0008247738013131879,0.10609899674935007,0.0011243696395043933,0.005827112052198798,0.006539301166569786,0.0014359319312570965,0.0008868615356735752,1.6830785495905838e-05,0.010474651051912509,0.0010413091582509573,0.010099709393982664,0.027298378195916663,0.006371581523995388,0.0030075140457096754,0.004495283923144612,0.02158722488288495,0.0022804531597518424,0.01188275195230811,0.010834761520008469,0.004381718380572389,0.004260197381627924,0.02114601090360584,0.005421404063875985,0.0004448768790345073,0.0051111752558486686,0.6703278538000067,0.03152285348857576,0.0002866440555540547,0.00022702190723339675,0.005754058411977209,0.07601949927914531,0.008038681051064483,0.008215379271988895,0.0014466555646588243,0.00017475315244481045,0.0036031403280240423,0.0008351529698078078,0.0008344989290267214,0.0021350724181573035,0.009027787257530166,0.002902713658279101,0.0034246148739155435,0.12731997566930792,6.160395098139461e-05,0.0011509388869740114,0.001116165906758461,0.000774939517501287,3.094896122926742e-05,0.002017552177948097,0.002607619213079092,0.003480385905011965,0.08229393848725622,0.001948360268399032,0.001832460482023344,6.765776179798848e-05,0.006350953168240877,0.01379030914401697,0.002593185670237662,2.0403172759212264e-05,0.042687242006341206,1.2546560965795948e-05,0.0024933643855458328,0.004184931242077711,0.02766057089443057,0.0001825579145008381,3.3860963171238856e-05,0.003264103155618266
2XurGuugADHAwF8gEYjtMA,SPIT IN MY FACE!,rap,0.05969438819533602,0.009948970648621953,0.0072857835573309606,0.04809226060114483,0.044080929012085365,0.9999999999999999,0.0036927349486723196,0.0030218369127785415,0.017464360311683958,0.07149845147930499,0.024438903410370943,0.009741515084225591,0.002023389153770282,0.011165173949087023,0.0019332831508195732,0.027375251641844168,0.0015399306063439322,0.006743746920156665,0.008049460490910708,0.044218872101563514,0.02014618300626588,0.15048619808823122,0.044057887863108595,0.017444791212359884,0.006845190071478531,0.08259881131426433,0.029471431108735093,0.010101374396671125,0.0564558595850861,0.10396314564339186,0.0006782738813866072,0.0007734431017193488,0.0014362462188297388,0.00017196453298155397,0.30364949947662134,0.0009215269726621369,0.0010434308637266114,0.12534143112586138,0.1083499645663965,0.0004495327315351586,0.0024622405097772626,0.09468491315348525,0.005339547264554464,0.008972417792010311,0.00047186312485965245,0.5578203571795272,1.7604081901980565e-05,0.00013488533560775088,9.166757572693176e-05,0.00010878337765102835,0.023674232057923263,0.0002848038750388252,0.0003022708155855128,5.82283806870757e-05,0.0015903402196071187,0.014977936617225447,0.027242627858079172,0.4424548015258991,5.503183918775818e-05,0.00811167463947922,9.768114852188404e-05,0.0007482394992997578,0.009000903545929856,0.0058579061074030755,8.984920746117113e-05,3.517627407555568e-05,0.005908851292094123
4oBQy4W1A2N6pL9MjHmwmS,Jersey Giant,country,0.007640924329367232,0.018996525942553605,0.0018812247612761148,0.0002898499444247708,0.001622761844349791,0.00028283620914191566,0.0007102467638954698,0.00023483096011146657,0.00011428267449373361,0.006555987908549575,0.007316469802198481,0.00020699170162613538,0.0034372247483893587,0.02493314554193033,0.000479499502136405,0.006427678299854469,0.0006623913979241062,0.33026337629196706,0.1640532789831958,0.023049629285705343,0.0015576815517590967,0.004072160862076664,0.0003482501070710063,0.008129533835539072,0.0017706612387510168,0.2123046015205023,0.013113287136029196,0.02598503910582398,0.00012980678258001706,0.0034668472773345333,0.1201345684790341,0.0010438674247292689,4.594590894627542e-05,0.001153744216306719,0.00019767665912575084,0.00043070799408168286,0.00026718052523361674,7.640330252123722e-05,0.0016786266123973745,0.0025277679128881117,0.001704650478906829,0.00026333795881481253,0.0012149240860744375,0.0008307521760140374,0.0008950734950010879,0.0003711877697039515,0.00047792764683388285,5.796910246980627e-05,0.0012866347107799772,0.03605402707856735,0.02817752582519798,0.0031908956671427577,9.052979016430645e-05,0.0033856708291995948,3.914151560180828e-05,0.014395736921797393,0.5287518899052215,0.0004523210600019909,1.3662095251828429e-05,0.0010846450090005219,5.3103747664613544e-06,0.006313869635372409,0.0009744150320809,0.00024003276755314506,0.001679465439520861,0.00021903934881129167,0.013037651133332292
3nrdCjP7QGBqMEutGTtT1B,What It Means To Be King,drill,9.667951099013202e-05,0.00043163282000873587,0.0003732319768042708,0.0005704105437715448,0.0007117623012885165,0.00035528503755732075,0.0006846447305084496,0.0001321119576448899,0.00027336930654162263,0.00012569323095345768,0.000542995722088676,0.0005906264164198641,0.0022106463338508564,0.00047617292247235346,0.0015117829439145268,0.00045302820303820887,0.0007728744457128685,0.00011062636582407005,0.0008827122154140116,0.0003294547344558689,0.00012921335425524676,0.0016852556294407845,0.00014266974277589382,4.795902343166249e-06,0.00756424555660412,0.9533640300232901,0.0024231672227165257,0.0002745956054128511,0.004074415795969215,0.0025073495500571737,0.005317407762137222,0.000556760279228352,4.692883268739399e-06,0.00023705640025312215,7.883915022736682e-05,0.0006797638933221751,0.0011430612567935622,0.004028780204062587,0.0017063775531857197,0.001186831914688187,0.0009549541529968648,0.0002791091230338158,0.00010477940080111966,1.566477243719015e-05,0.0001665904345312395,0.0002466227250846659,4.131695561540628e-05,1.2132108018258484e-06,0.0004772624571125318,0.0006058268396092598,0.002279246361000438,0.000992515823921178,2.5403687713527564e-05,0.0012166360939474862,5.17475650597872e-05,0.0007291668602589341,0.0005809144572180695,0.0021397223487144407,1.7369943862912659e-06,0.02035098075701773,2.500314345168353e-07,6.993205380827002e-05,0.007235393653733593,2.3969141025908718e-05,8.927910727486646e-06,2.3544163853177397e-06,0.002176644891900158
