album_id,album_name,artist_name,release_date,total_tracks,popularity,image_url,genre,genre_cleaned,genre_condensed
1dwo7QqEHtUeFs6qz2pNm2,Ganger,Veeze,2023-06-27,21,59,https://i.scdn.co/image/ab67616d0000b27360b1580d5d211f760cae4c33,rap,rap,rap/hip hop
3qvrVAm0dXvo6Uwn855H82,Jesus Changed My Life,Katy Nichole,2023-02-24,11,62,https://i.scdn.co/image/ab67616d0000b273bd527ab027128b0c0ad4f7fc,christian,religious,religious
1BOZNMzXTIkz8nUfGCxfpe,From The Start,Laufey,2023-05-11,1,65,https://i.scdn.co/image/ab67616d0000b27310ee65ae464018c19c8e8ab4,jazz,jazz,soul/jazz
0BaIaHcyBXuOWeM4Aas4EW,Barbie The Album,Various Artists,2023-07-21,17,67,https://i.scdn.co/image/ab67616d0000b273d16ac0ec27653182d719ab36,electronic,electronic,electronic
09eLFhImEeeEDKlaLznMOv,Rolling Up the Welcome Mat (For Good),Kelsea Ballerini,2023-08-11,7,59,https://i.scdn.co/image/ab67616d0000b273cae570218a1b4e5572b8c279,country,country,country/folk
6lbrHERXve89hrxuCpsJOg,PORTALS (Deluxe),Melanie Martinez,2023-04-05,16,65,https://i.scdn.co/image/ab67616d0000b2735622a64330596a84d4c1e951,portals,pop,pop
5WAQTwGucEJPQLgh235Pbz,Atmosphere,FISHER,2023-08-11,1,65,https://i.scdn.co/image/ab67616d0000b273a6e3a7e65879142b2a5fe3e7,indie,indie,indie
7CwQcswdSnPsSwQtskEmT4,The Show,Niall Horan,2023-06-09,10,67,https://i.scdn.co/image/ab67616d0000b2732a368fea49f5c489a9dc3949,pop,pop,pop
7ubO2LZJZFpyhiWMZkRwcH,2000,Manuel Turizo,2023-03-17,15,72,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1,Reggaeton,reggae,reggae
5Kt5QHJX0wnEk3A3mAApR5,90s Rap Mashup,Austin Williams,2023-11-17,2,61,https://i.scdn.co/image/ab67616d0000b2733f6e00ee1d0d62e2b7a05e15,country,country,country/folk
1ep4OEfNOhvcY85STfEtKy,Jackman.,Jack Harlow,2023-04-28,10,64,https://i.scdn.co/image/ab67616d0000b273ef51095309fee985f2bc6987,chipmunk soul,soul,soul/jazz
5W30YJavMoHwG64cPD4L9C,The Beginning,FIFTY FIFTY,2023-09-22,11,68,https://i.scdn.co/image/ab67616d0000b27393a783eccc24a636fc8d3d46,k-pop,k-pop,k-pop
1AJrpzYu5KAbDSvmyiIUhr,The Great Escape,Larry June,2023-03-31,15,62,https://i.scdn.co/image/ab67616d0000b27360bc4a5255b323583cefe763,rap,rap,rap/hip hop
3Mm1P5CEEAiuJqBclr2EyU,Ella Baila Sola,Eslabon Armado,2023-03-16,1,66,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,Corridos tumbados,latin,latin
6tG8sCK4htJOLjlWwb7gZB,This Is Why,Paramore,2023-02-10,10,64,https://i.scdn.co/image/ab67616d0000b273f633b71861897348253993f4,rock,rock,rock
1a5idDFSq90ej8CzQC7YDc,Blame My Ex,The Beaches,2023-09-15,10,63,https://i.scdn.co/image/ab67616d0000b273b031aad441b2c4eb2efadf7c,indie rock,rock,rock
583ihCp81vt2nhHzMKOqVh,Ghibli Songs on Piano,Yashida Miyota,2023-05-26,25,63,https://i.scdn.co/image/ab67616d0000b273e75e694c53bb2ee192b3f90f,kids,kids,kids
2HxzXLKO0AvkScWYHSspQc,Stumblin' In,CYRIL,2023-11-10,1,74,https://i.scdn.co/image/ab67616d0000b2739a903819d8a5d3c80c47734c,downtempo,electronic,electronic
6vxo1Nywp8r7B0p9avT0SM,"Golden Child, Chapter 3",Autumn!,2023-03-31,24,59,https://i.scdn.co/image/ab67616d0000b273edc353a73ff6b56eecfa51c2,plugg,hip hop,rap/hip hop
6iyBE8qGDt42MyBvtPNuMk,Glue Song (feat. Clairo),beabadoobee,2023-04-17,1,65,https://i.scdn.co/image/ab67616d0000b2734ed4cd453322102dafa3e3ec,seen live,latin,latin
67WUCOjyl44d8fAFzHONjW,Search & Rescue,Drake,2023-04-07,1,62,https://i.scdn.co/image/ab67616d0000b273cace8a4b2ff924c9e12e3a96,drake,rap,rap/hip hop
34Pt5YlloNLomVuV97GbAY,Teenage Dixie,Muscadine Bloodline,2023-02-24,16,60,https://i.scdn.co/image/ab67616d0000b27368d2e3814645c94470e17a36,country,country,country/folk
67DWn1tZ245gendegv7Ioz,Gold,Cleo Sol,2023-09-29,10,65,https://i.scdn.co/image/ab67616d0000b2738128b3a01e0246795dfab1a2,soul,soul,soul/jazz
1ipPj2xEiVWibPm6V1LqEc,MEDUZA,MEDUZA,2023-10-13,12,70,https://i.scdn.co/image/ab67616d0000b2738d7f3300dd80d2704664ff16,dance,electronic,electronic
6qKsVbDuX5sKB4OTqkNc0C,Sofa Kings,Royel Otis,2023-03-31,7,65,https://i.scdn.co/image/ab67616d0000b2733892591beda250b79cc523f0,seen live,latin,latin
7qcSUc5Af63mhfTF60KTEA,Chemical,Post Malone,2023-04-14,1,66,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c,Hip-Hop,hip hop,rap/hip hop
075lV4wdtLwFvIvCUdSYhL,Flex Musix,OsamaSon,2023-12-08,17,61,https://i.scdn.co/image/ab67616d0000b2735331adabe62a482b2daebed6,trap,rap,rap/hip hop
0hvT3yIEysuuvkK73vgdcW,GNX,Kendrick Lamar,2024-11-22,12,93,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,hip-hop,hip hop,rap/hip hop
7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,10,95,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,aoty,pop,pop
