name,gender
Moneybagg Yo,male
Young Stoner Life,Unknown
Miracle Tones,Not found
Lainey Wilson,female
Gracie Abrams,female
Lil Tjay,male
Summer Walker,female
Maroon 5,Unknown
Don Toliver,male
Lana Del Rey,female
YoungBoy Never Broke Again,male
Trippie Redd,male
The Noisy Outdoors,Not found
Tory Lanez,male
KAROL G,female
Bluey,Unknown
Bo Burnham,male
Various Artists,Unknown
42 Dugg,male
Noah Kahan,male
Drake,male
Lil Baby,male
Disney,Unknown
Jelly Roll,Unknown
Lil Nas X,male
Ivan Cornejo,male
Isaiah Rashad,male
Spiritbox,Unknown
Mariah the Scientist,female
Ashe,Unknown
GIVĒON,male
Nature Of Sweden,Unknown
Charity Gayle,Not found
Lana Del Rey,female
Laufey,Unknown
Ashnikko,genderfluid
Pooh Shiesty,male
The Rare Occasions,Unknown
Migos,Unknown
Megan Moroney,female
BigXthaPlug,male
Clairo,female
NF,Unknown
bbno$,male
Megan Thee Stallion,female
Nardo Wick,male
Ocean Waves Radiance,Not found
Mac Miller,male
John Mayer,male
Maverick City Music,Unknown
Elevation Worship,Unknown
Parker McCollum,male
Ken Carson,male
DJ Khaled,male
Gracie Abrams,female
Big Boogie,male
LUCKI,male
Rod Wave,male
Natanael Cano,male
Pure Sleeping Vibes,Not found
Cochren & Co.,Unknown
Måneskin,Unknown
Rain Radiance,Not found
Del Water Gap,male
Twenty One Pilots,Unknown
Young Dolph,male
Bruno Mars,male
Ariana Grande,female
Eslabon Armado,Unknown
Laufey,Unknown
Dijon,Unknown
Young Dolph,male
Fuerza Regida,Unknown
Pure Sleeping Vibes,Not found
Japanese Breakfast,female
Stray Kids,Unknown
Snoh Aalegra,female
Phil Wickham,male
LeeHi,female
Polo G,male
KXLLSWXTCH,male
ZillaKami,male
Jason Aldean,male
Only The Family,Unknown
Matt Maltese,male
Lord Huron,Unknown
Comet 1993,Not found
Key Glock,male
Taylor Swift,female
24kGoldn,male
CAIN,Unknown
The Weeknd,male
