count_person,max_confidence_person,count_car,max_confidence_car,count_bicycle,max_confidence_bicycle,count_dog,max_confidence_dog,count_cat,max_confidence_cat,count_chair,max_confidence_chair,count_book,max_confidence_book,count_bottle,max_confidence_bottle,total_object_count,avg_detection_confidence,has_people,avg_brightness,brightness_std,is_dark,is_bright,color_1_hex,color_1_percentage,color_2_hex,color_2_percentage,color_3_hex,color_3_percentage,color_4_hex,color_4_percentage,color_5_hex,color_5_percentage,avg_saturation,is_vibrant,is_muted,is_warm,is_cool,text_count,has_text,text_content,has_parental_advisory,text_coverage_ratio,edge_density,is_complex,is_minimal,horizontal_symmetry,is_symmetric,visual_entropy,width,height,aspect_ratio,album_id,image_url
1,0.8458379507064819,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.8458379507064819,True,57.49805908203125,35.13899328056938,True,False,#312c27,86.281982421875,#aaa59f,2.542236328125,#817c76,3.8630371093749996,#58534e,4.794921875,#d3cec9,2.517822265625,45.8083642578125,False,True,True,False,3.0,True,THE TORTURED POETS DEPARTMENT | T H E | NT H 0 L 0 G,False,0.02099609375,0.03345458984375,False,True,0.5463979587928922,False,4.1037774085998535,640.0,640.0,1.0,5H7ixXZfsNMGbIE5OBSpcb,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa
1,0.6095872521400452,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0,0.4566616266965866,True,199.0433984375,51.84140578611184,False,True,#837c72,14.71826171875,#edece8,57.405517578125,#a39c92,11.83837890625,#3f3730,3.94287109375,#c9c4bc,12.094970703125,15.5541015625,False,True,True,False,1.0,True,THE TORTURED POETS DEPARTMENT,False,0.013779296875,0.01644287109375,False,True,0.7446976039113562,False,5.246297836303711,640.0,640.0,1.0,1Mo4aZ8pdj6L1jx8zSwJnt,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
1,0.8519285321235657,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6.0,0.4972747912009557,True,159.26930908203124,42.56376712574607,False,False,#9cb2c3,24.94775390625,#654234,12.544189453124998,#ceccc4,28.5908203125,#6b92af,19.377197265625,#ba8764,14.540039062499998,69.618017578125,False,False,False,True,4.0,True,TAYLOR'S | VERSIO | TS_ | DELUXE,False,0.0405908203125,0.0331787109375,False,True,0.3815977775224674,False,7.124428749084473,640.0,640.0,1.0,1o59UpKw81iHR0HPiSkJR0,https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949
1,0.8520998954772949,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4.0,0.6400730684399605,True,159.595625,41.95332520203628,False,False,#a0b3c2,27.574951171875,#644334,12.156494140625,#6d93b0,20.430419921875,#ba8764,14.43505859375,#cfcec6,25.403076171875,67.99412109375,False,False,False,True,2.0,True,TAYLOR'S | VERSTO,False,0.0127734375,0.02945556640625,False,True,0.3690959137561275,False,7.163605213165283,640.0,640.0,1.0,64LU4c1nfjz1t4VnGhagcg,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
2,0.6912106275558472,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0,0.47243696451187134,True,65.15797119140625,59.66036166164918,True,False,#b7714b,8.371826171875,#492332,20.61962890625,#f4c9a7,10.02734375,#1c1418,45.235107421875,#763476,15.74609375,116.03372314453125,True,False,False,True,0.0,False,,False,0.0,0.03755126953125,False,True,0.5991259510314542,False,7.087674617767334,640.0,640.0,1.0,5AEDGbliTTfjOB8TSm1sxt,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.42498546838760376,False,48.34832763671875,27.434186399177975,True,False,#271916,47.59619140625,#ef7555,3.642333984375,#492a22,38.515625,#854230,8.25,#b8563c,1.995849609375,126.9236474609375,True,False,True,False,19.0,True,CILRIS | STAPLHCON | KIGEIER | What Am | GONNA Do | 07 South Dakota | 0j TRUST | 04 It TAKES 4 WOMAN | 05 Thc fire | 06 ThInk | I'm IN LOVE With YOu | 07 LOving You ON My MiNd | 08 White Horse | '09 HIgher | Ho The Bottom | TITHe Dat | CROSSWIND | Weight Of Tour WoRld | MOUNTAINS Of Mt MIND,False,0.200673828125,0.028623046875,False,True,0.7243205997242648,False,4.0533223152160645,640.0,640.0,1.0,6kcZ35GY84A3FBIcIKVqTW,https://i.scdn.co/image/ab67616d0000b273de2e30cf7205b45a0ba3877f
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,False,241.5291650390625,5.588280233040973,False,True,#f2f2f2,65.32666015625,#818086,0.126953125,#cbcbcf,0.19287109375,#f0f0f0,34.17919921875,#a5a4a9,0.17431640625,0.05500244140625,False,True,True,False,4.0,True,Titlo: | START I | Qver | By: CHRIS_STAPLEToN,False,0.02291015625,0.00461669921875,False,True,0.2441948976205065,False,2.324497938156128,640.0,640.0,1.0,0sOeI7pbAmIc8aDFyvkBUW,https://i.scdn.co/image/ab67616d0000b2739408342067e2ff50d69a3c98
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.5585474967956543,False,74.42094970703126,47.6539608167037,True,False,#6c1c2d,81.09130859375,#e1cbc8,8.126708984375,#a26d73,2.970458984375,#c6a2a2,3.5222167968750004,#813d48,4.289306640625,165.24139892578125,True,False,True,False,1.0,True,Saiueion,False,0.11923828125,0.06970947265625,False,False,0.6815493961907679,False,3.8188881874084473,640.0,640.0,1.0,24fkX2Gdqw4a6pR9BUYbE5,https://i.scdn.co/image/ab67616d0000b27303c4f794113255be4038e45d
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.7928426265716553,False,197.9840087890625,66.4328652777203,False,True,#5d0c10,11.34619140625,#f3e1d3,80.22607421875,#a06c68,2.6337890625,#7b3737,3.430419921875,#caa79d,2.363525390625,61.1266552734375,False,False,True,False,1.0,True,uiireo,False,0.11859375,0.07438232421875,False,False,0.8246881829554739,True,3.1137144565582275,640.0,640.0,1.0,5L0e8X6Mf9lfjs2miK2WUB,https://i.scdn.co/image/ab67616d0000b2736b3e3357c9192722c1236b49
1,0.9142508506774902,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.9142508506774902,True,149.8541845703125,59.98828789960662,False,False,#8d8d8d,21.701416015625,#252525,11.582275390625,#e4e4e4,16.392578125,#616161,18.296630859375,#bababa,32.027099609375,0.27848876953125,False,True,True,False,3.0,True,TRAVELLER | (HRIS | STAPLETON,False,0.22623046875,0.0975927734375,False,False,0.6105032552083334,False,7.7325439453125,640.0,640.0,1.0,7lxHnls3yQNl8B9bILmHj7,https://i.scdn.co/image/ab67616d0000b273540fc1d083eac5bcff8dad21
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4.0,0.47176090627908707,False,116.32371337890625,67.44043528699306,False,False,#2c2026,22.986328125,#c6a379,15.458251953124998,#5c8ebe,10.08056640625,#7d4c58,36.25732421875,#e5e5dd,15.217529296874998,113.7632177734375,True,False,False,True,4.0,True,Te PARTY NNeve? ENDS | LLJw | 991 | NRLD,False,0.05299073192701675,0.2087744140625,True,False,0.5015372434129902,False,7.857362270355225,640.0,640.0,1.0,7kOpqRCEqTTzcGc4CwEFph,https://i.scdn.co/image/ab67616d0000b273c435ae51e1d314f3ecea02a0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0,0.4355255365371704,False,185.07791259765625,69.5543537208251,False,True,#4f4944,11.189697265625,#f8f8f6,50.49658203125,#8a9ec3,12.840576171875002,#6a6b70,18.750244140625,#e0964e,6.722900390625,30.78291748046875,False,True,False,True,5.0,True,5 YeakANVERGARY | Good bye | MIMLR | LipiIgi] Liuil] | GoockiNNCE,False,0.4453515625,0.07536376953125,False,False,0.5818113830167484,False,6.577019214630127,640.0,640.0,1.0,5v9IfhMyxAkE9CbLjfNChR,https://i.scdn.co/image/ab67616d0000b273a782c3b830a9b62630e296f7
