image,skin_percentage
5WW33U9SIpfuwKhddvPVIH.jpg,0.0
2Y0sVUECK4Ss3G2QYYLk2w.jpg,0.57
4DxNdQzm6cBYuSn4dCimmT.jpg,4.79
4FJBxFUnQAO5w1s3oCbgyW.jpg,42.51
0E4xv5gPjykrwBgBZzI8XG.jpg,0.0
6HBW4VCennw5rKtdCynJyC.jpg,70.67
5vSyZglUnnQw4nlQC4QaRO.jpg,1.6
3qQNMHl395aHGiMO9OptjU.jpg,11.69
4ffJTc6OVVJ7rr65r5CGbq.jpg,11.4
6blgSRdbfka5lEtu9iivkg.jpg,10.48
6SDPwUC74HcxwB84kPs4pM.jpg,0.0
0NIuyJBQRvPaIjnyvTMBIe.jpg,0.0
18iFxjZugvKhuNNMbLjZJF.jpg,0.0
6oy0L8HUUhMflUaqrpqr9P.jpg,4.26
5iq1WKdgFlbPWxS3hWbMGn.jpg,1.03
3SzqS1H5dj8f450YhV9YbP.jpg,0.05
06QKM7WJc1kybQdxhYNdep.jpg,0.03
5qq7QrnwC09xndOY2J1HtP.jpg,3.1
7vNqlfthayItIbI0Ssmfoa.jpg,0.0
1FJVbtVFLARPKbn1HepNh1.jpg,26.28
58IBgtbmRfMrGBbnMrDq2A.jpg,12.68
59ULskOkBMij4zL8pS7mi0.jpg,11.45
5UcGyEltve5psjxSRsHx8E.jpg,61.92
26JLBgmg9yNxBcdBhX0f63.jpg,0.66
3t9rYn3T0az1o46W1f0SuS.jpg,12.66
3CXa4AY5Rt4kymz1vW90WR.jpg,7.03
6al2VdKbb6FIz9d7lU7WRB.jpg,0.0
4dfAJiDQHQf4dGX0ZdtxPh.jpg,20.68
1REqQsUK0WRYQVzsmdsj04.jpg,4.79
6uoGeT623i76TwlgYFfe42.jpg,70.65
4SkbfeWMHz58YzZQ5vThTH.jpg,1.83
6vKVBLTsQW5wXOzmOIkPVZ.jpg,7.32
0KC9H4iFOOWiKEa5IzKKOE.jpg,23.15
7nacKlk586eLRBSIsrk9DB.jpg,92.27
4L14L29uPwSUzYo3f4vEz8.jpg,11.16
706OUJupy1hTgWwsAYul7y.jpg,15.45
5OJKuDthIuOrzpNJgd7hPv.jpg,13.75
7Jd5X8mMU1OxD3ypYb0CtS.jpg,10.8
5mjsM29trqNbOcGY2s2UDF.jpg,19.13
6j4lyxlqfz4QTVsCsspOvT.jpg,8.5
2kWPgLUtDNomhN2VY4uMlC.jpg,9.03
0vYCN1SXivJ5dS1dasLZug.jpg,49.78
3OUUrRZtEpwfScVgNVNKx0.jpg,10.21
0cUvvSehTB7xyEamWPsIN8.jpg,4.24
3nOj9hsnptBEDt9ie2lra5.jpg,0.18
4mOD7ybR4ba705kfDTS7zF.jpg,7.63
7KldyyeQxbaR4oXtMprIJD.jpg,0.08
4qcEea4YvyhdKxCgqFWg8S.jpg,7.71
4Y8rhzQmphj5nEXhIlJW6P.jpg,0.1
6DYhaqCaE5vEunvPB0mv7d.jpg,7.38
5x8Pjl79ZuxXAmoJeond8C.jpg,17.42
5yPu6XkHu8DAGmV6YkXYZq.jpg,14.53
3xuvOKpNqynROqZt8Tvcfh.jpg,0.11
1SV5pB0Sxjyz8PleTokE17.jpg,1.32
5LXOgcszGvUkYzYL4v6wYg.jpg,0.0
0qGQrHicD7qXuz5VMlDuCe.jpg,0.0
2pqebJQi4AP1zUFSHY561K.jpg,16.6
2FOAtTMAfplWnTKf7rl12Q.jpg,73.23
4aW4iDepQUl5ZCHd1Gli68.jpg,13.3
6S0BIiWtnqU0PtumXMpin0.jpg,24.08
01AWRFHGz9ioWiPcFgqGrv.jpg,0.07
48zisMeiXniWLzOQghbPqS.jpg,0.01
3tkgZCt1VA1Xf1pDGtYrAx.jpg,0.0
4se56vUQlf2nGZHynfAkTZ.jpg,2.62
56alTwsbtrn2veUwwDTdny.jpg,37.36
21pLZkjJiP0zaFve7FJ8wq.jpg,24.49
4iuZr9ptf5nAy3f8afPdBM.jpg,10.75
1c9Sx7XdXuMptGyfCB6hHs.jpg,3.52
1UTDgnpHmthIsdzSxbhpV2.jpg,32.17
5VHret9YgfsWcPHJfiGsDO.jpg,27.96
5okzhzPKByC8n0NxBYD2e5.jpg,21.07
2nXBEQRSzoVOqXtP5cdlJY.jpg,0.04
3zu0hJJew2qXZNlselIQk8.jpg,7.83
1yjrtwm2ru1qPGBPBUDE0x.jpg,7.61
5MhpEW1P1Lpu4NLrLB34x7.jpg,1.85
6NuGZnOc88LcZpEkJIbO50.jpg,30.47
5UGJv7jVAJXWkssLjltV5M.jpg,67.65
1E7leeAO91cRo46jKNOygP.jpg,15.26
7I6d6PkjEJE50fnxhCwQ8M.jpg,42.93
0E2xXn23qVmfx9ThZjWFBE.jpg,0.47
3yKGB4IYu6MeLkhFJFn9eI.jpg,5.73
5BAggP8hO7VWDSTKkNGyCi.jpg,15.0
5QAImazLc6fHswlQTykR32.jpg,57.87
6pCLvgEb0INbO0WaN2Byyw.jpg,1.16
76rEqqgGwIXDjRoHcWKIbG.jpg,5.3
4s8ALi238WwLW0zphoLeF6.jpg,6.55
7Iyk4lQBqBfZVozOm3QiwY.jpg,22.15
0hWY4eSi2bZ8tWplgjO0ph.jpg,0.72
10UxWeXdW1SFpghU3a4On8.jpg,0.0
5v9IfhMyxAkE9CbLjfNChR.jpg,5.27
5onhEG8O3aKdg9b4lIdkNz.jpg,2.22
7dfTBn7wtgKEchVmyipBl1.jpg,0.71
3RqO05jxT9YYgNtMdQmo8Z.jpg,28.94
6605c8Jawe4R9Wxg7AJDW3.jpg,0.0
2npzGBEPDOfVLN8ajYm3pZ.jpg,0.0
1F9Fd7d8U3wykniDos7pbg.jpg,62.66
0sWCaYEvVdD34EvBYIYd3R.jpg,0.01
77womOdnf0Ttqnv7VeEDQn.jpg,14.63
15XcLhiVMlSOipUddTNDnr.jpg,0.0
